source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[depletion method]	characteristics[depletion]	characteristics[developmental stage]	characteristics[individual]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[proteomics data acquisition method]	comment[modification parameter]	comment[modification parameter]	comment[cleavage agent details]	comment[collision energy]	comment[dissociation method]	comment[file uri]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[separation]	comment[technical replicate]	comment[data file]	factor value[organism part]
PXD000852-Sample-11	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S11	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	11	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S11.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S11.raw.zip	hdl
PXD000852-Sample-12	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S12	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	12	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S12.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S12.raw.zip	hdl
PXD000852-Sample-13	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S13	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	13	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S13.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S13.raw.zip	hdl
PXD000852-Sample-14	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S14	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	14	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S14.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S14.raw.zip	hdl
PXD000852-Sample-15	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S15	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	15	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S15.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S15.raw.zip	hdl
PXD000852-Sample-16	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S16	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	16	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S16.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S16.raw.zip	hdl
PXD000852-Sample-17	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S17	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	17	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S17.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S17.raw.zip	hdl
PXD000852-Sample-18	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S18	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	18	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S18.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S18.raw.zip	hdl
PXD000852-Sample-19	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S19	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	19	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S19.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S19.raw.zip	hdl
PXD000852-Sample-20	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S20	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	20	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S20.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S20.raw.zip	hdl
PXD000852-Sample-21	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S21	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	21	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S21.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S21.raw.zip	hdl
PXD000852-Sample-22	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S22	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	22	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S22.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S22.raw.zip	hdl
PXD000852-Sample-23	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S23	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	23	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S23.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S23.raw.zip	hdl
PXD000852-Sample-24	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S24	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	24	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S24.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S24.raw.zip	hdl
PXD000852-Sample-25	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S25	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	25	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S25.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S25.raw.zip	hdl
PXD000852-Sample-26	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S26	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	26	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S26.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S26.raw.zip	hdl
PXD000852-Sample-27	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S27	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	27	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S27.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S27.raw.zip	hdl
PXD000852-Sample-28	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S28	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	28	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S28.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S28.raw.zip	hdl
PXD000852-Sample-29	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S29	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	29	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S29.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S29.raw.zip	hdl
PXD000852-Sample-30	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S30	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	30	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S30.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S30.raw.zip	hdl
PXD000852-Sample-31	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S31	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	31	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S31.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S31.raw.zip	hdl
PXD000852-Sample-32	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S32	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	32	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S32.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S32.raw.zip	hdl
PXD000852-Sample-33	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S33	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	33	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S33.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S33.raw.zip	hdl
PXD000852-Sample-34	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S34	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	34	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S34.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S34.raw.zip	hdl
PXD000852-Sample-35	Homo sapiens	hdl	normal	not applicable	37Y	not available	not applicable	not applicable	not available	1	female	1	S35	proteomic profiling by mass spectrometry	AC=MS:1001781;NT=Synapt HDMS	AC=MS:1002038;NT=label free sample	35	Nondenaturing micro 2DE	NT=Data-Independent Acquisition;AC=PRIDE:0000662	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Trypsin;AC=MS:1001251	20 eV;40 eV	AC=MS:1000133;NT=CID	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000852/S35.raw.zip	20 ppm	10 ppm	AC=PRIDE:0000563;NT=Reversed-phase chromatography	1	S35.raw.zip	hdl
